"","year(Date)","states","peak","region"
"125",2005,"Michigan",4810,"michigan"
"126",2005,"Minnesota",4711,"minnesota"
"127",2005,"Mississippi",5707,"mississippi"
"128",2005,"Missouri",2241,"missouri"
"129",2005,"Montana",739,"montana"
"130",2005,"Nebraska",2842,"nebraska"
"131",2005,"Nevada",6616,"nevada"
"132",2005,"New.Hampshire",2357,"new hampshire"
"133",2005,"New.Jersey",4163,"new jersey"
"134",2005,"New.Mexico",6095,"new mexico"
"135",2005,"New.York",4149,"new york"
"136",2005,"North.Carolina",4665,"north carolina"
"137",2005,"North.Dakota",-Inf,"north dakota"
"138",2005,"Ohio",3855,"ohio"
"139",2005,"Oklahoma",7309,"oklahoma"
"140",2005,"Oregon",4390,"oregon"
"141",2005,"Pennsylvania",4913,"pennsylvania"
"142",2005,"Rhode.Island",3107,"rhode island"
"143",2005,"South.Carolina",4256,"south carolina"
"144",2005,"South.Dakota",-Inf,"south dakota"
"145",2005,"Tennessee",6232,"tennessee"
"146",2005,"Texas",7732,"texas"
"147",2005,"Utah",4793,"utah"
"148",2005,"Vermont",778,"vermont"
"149",2005,"Virginia",5441,"virginia"
"150",2005,"Washington",4155,"washington"
"151",2005,"West.Virginia",4248,"west virginia"
"152",2005,"Wisconsin",4948,"wisconsin"
"153",2005,"Wyoming",-Inf,"wyoming"
"154",2006,"Alabama",5334,"alabama"
"155",2006,"Alaska",1831,"alaska"
"156",2006,"Arizona",7717,"arizona"
"157",2006,"Arkansas",5524,"arkansas"
"158",2006,"California",3646,"california"
"159",2006,"Colorado",1464,"colorado"
"160",2006,"Connecticut",1574,"connecticut"
"161",2006,"Delaware",2681,"delaware"
"162",2006,"District.of.Columbia",2654,"district of columbia"
"163",2006,"Florida",2359,"florida"
"164",2006,"Georgia",3333,"georgia"
"165",2006,"Hawaii",2434,"hawaii"
"166",2006,"Idaho",3039,"idaho"
"167",2006,"Illinois",2460,"illinois"
"168",2006,"Indiana",2460,"indiana"
"169",2006,"Iowa",2976,"iowa"
"170",2006,"Kansas",1868,"kansas"
"171",2006,"Kentucky",2594,"kentucky"
"172",2006,"Louisiana",6140,"louisiana"
"173",2006,"Maine",2128,"maine"
"174",2006,"Maryland",3519,"maryland"
"175",2006,"Massachusetts",1442,"massachusetts"
"176",2006,"Michigan",2537,"michigan"
"177",2006,"Minnesota",3044,"minnesota"
"178",2006,"Mississippi",4906,"mississippi"
"179",2006,"Missouri",2066,"missouri"
