"","year(Date)","states","peak","region"
"629",2015,"Kansas",5101,"kansas"
"630",2015,"Kentucky",6783,"kentucky"
"631",2015,"Louisiana",6795,"louisiana"
"632",2015,"Maine",5659,"maine"
"633",2015,"Maryland",6346,"maryland"
"634",2015,"Massachusetts",3845,"massachusetts"
"635",2015,"Michigan",4291,"michigan"
"636",2015,"Minnesota",4872,"minnesota"
"637",2015,"Mississippi",5518,"mississippi"
"638",2015,"Missouri",3661,"missouri"
"639",2015,"Montana",4231,"montana"
"640",2015,"Nebraska",5704,"nebraska"
"641",2015,"Nevada",6853,"nevada"
"642",2015,"New.Hampshire",4559,"new hampshire"
"643",2015,"New.Jersey",5431,"new jersey"
"644",2015,"New.Mexico",7811,"new mexico"
"645",2015,"New.York",5191,"new york"
"646",2015,"North.Carolina",6050,"north carolina"
"647",2015,"North.Dakota",4029,"north dakota"
"648",2015,"Ohio",4625,"ohio"
"649",2015,"Oklahoma",11590,"oklahoma"
"650",2015,"Oregon",2735,"oregon"
"651",2015,"Pennsylvania",5523,"pennsylvania"
"652",2015,"Rhode.Island",5285,"rhode island"
"653",2015,"South.Carolina",4990,"south carolina"
"654",2015,"South.Dakota",6894,"south dakota"
"655",2015,"Tennessee",6552,"tennessee"
"656",2015,"Texas",6931,"texas"
"657",2015,"Utah",3395,"utah"
"658",2015,"Vermont",4005,"vermont"
"659",2015,"Virginia",4115,"virginia"
"660",2015,"Washington",5069,"washington"
"661",2015,"West.Virginia",7423,"west virginia"
"662",2015,"Wisconsin",4750,"wisconsin"
"663",2015,"Wyoming",4044,"wyoming"
