pop,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
896444,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,Fiji,7,9
3483,NA,NA,NA,NA,NA,NA,NA,NA,81.44,Falkland Isl.,7,9
65273512,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,France,6,8
48865,NA,NA,NA,NA,NA,NA,NA,NA,80.67,Faeroe Isl.,6,8
2225728,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,Gabon,7,9
67886004,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,United Kingdom,6,8
5463300,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,Scotland,6,8
59439840,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,England+Wales,6,8
3989175,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,Georgia,7,9
67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guernsey,6,8
31072945,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,Ghana,7,9
33691,NA,NA,NA,NA,NA,NA,NA,NA,79.93,Gibraltar,6,8
13132792,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,Guinea,7,9
2416664,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,Gambia,7,9
1967998,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,Guinea-Bissau,7,9
1402985,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,Equatorial Guinea,7,9
10423056,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,Greece,6,8
112519,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,Grenada,7,9
56772,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,Greenland,6,8
17915567,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,Guatemala,7,9
168783,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,Guam,7,9
786559,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,69.91,Guyana,7,9
7496988,56054.92,NA,NA,8.33,NA,NA,NA,NA,84.86,Hong Kong,7,9
9904608,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,Honduras,1,3
4105268,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,Croatia,7,9
11402533,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,Haiti,7,9
9660350,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,Hungary,6,8
273523621,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,Indonesia,7,9
85032,NA,NA,NA,NA,NA,NA,NA,NA,81.4,Isle of Man,6,8
1380004385,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,India,7,9
4937796,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,Ireland,6,8
83992953,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,Iran,7,9
40222503,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,Iraq,7,9
341250,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,Iceland,7,9
8655541,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,Israel,7,9
60461828,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,Italy,6,8
2961161,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,Jamaica,7,9
101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jersey,6,8
10203140,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,Jordan,7,9
126476458,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,Japan,7,9
18776707,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,Kazakhstan,7,9
53771300,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,Kenya,7,9
6524191,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,Kyrgyzstan,7,9
16718971,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,Cambodia,7,9
53192,24654.385,NA,NA,12.84,NA,NA,NA,2.3,76.23,Saint Kitts+Nevis,7,9
51269183,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,South Korea,7,9
4270563,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,Kuwait,7,9
7275556,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,Laos,7,9
6825442,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,Lebanon,7,9
5057677,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,Liberia,7,9
6871287,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,Libya,7,9
183629,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,Saint Lucia,7,9
38137,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,Liechtenstein,6,8
21413250,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,Sri Lanka,7,9
2142252,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,Lesotho,7,9
2722291,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,Lithuania,6,8
625976,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,Luxembourg,6,8
1886202,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,Latvia,6,8
36910558,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,Morocco,7,9
39244,NA,NA,NA,5.46,NA,NA,NA,13.8,86.75,Monaco,6,8
4033963,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,Moldova,6,8
27691019,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,Madagascar,7,9
540542,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,Maldives,7,9
128932753,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,Mexico,6,8
2083380,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,Macedonia,6,8
20250834,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,Mali,10,12
441539,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,Malta,6,8
54409794,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,Myanmar,7,9
628062,16409.288,1,387.305,10.08,44,47.9,NA,3.861,76.88,Montenegro,6,8
3278292,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,Mongolia,7,9
57557,NA,NA,194.994,NA,NA,NA,NA,NA,76.74,N. Mariana Isl.,7,9
31255435,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,Mozambique,7,9
4649660,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,Mauritania,7,9
4999,NA,NA,NA,NA,NA,NA,NA,NA,74.16,Montserrat,7,9
1271767,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,Mauritius,7,9
19129955,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,Malawi,7,9
32365998,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,Malaysia,7,9
2540916,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,Namibia,7,9
285491,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,New Caledonia,7,9
24206636,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,Niger,7,9
206139587,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,54.69,Nigeria,10,12
6624554,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,74.48,Nicaragua,7,9
