iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
COD,Africa,Democratic Republic of Congo,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,DRC,4,6
COG,Africa,Congo,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,Congo,4,6
COL,South America,Colombia,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,Colombia,7,9
COM,Africa,Comoros,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,Comoros,7,9
CPV,Africa,Cape Verde,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,Cape Verde,7,9
CRI,North America,Costa Rica,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,Costa Rica,6,8
CUB,North America,Cuba,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,Cuba,7,9
CUW,North America,Curacao,164100,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,Curacao,6,8
CYM,North America,Cayman Islands,65720,256.496,NA,NA,NA,49903.029,NA,NA,13.22,NA,NA,NA,NA,83.92,Cayman Isl.,6,8
CYP,Europe,Cyprus,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,Cyprus,6,8
CZE,Europe,Czech Republic,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,Czech Republic,6,8
DEU,Europe,Germany,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,Germany,6,8
DJI,Africa,Djibouti,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,Djibouti,7,9
DMA,North America,Dominica,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,75,Dominica,7,9
DNK,Europe,Denmark,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,Denmark,6,8
DOM,North America,Dominican Republic,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,Dominican Rep.,7,9
DZA,Africa,Algeria,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,Algeria,7,9
ECU,South America,Ecuador,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,Ecuador,7,9
EGY,Africa,Egypt,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,Egypt,7,9
ERI,Africa,Eritrea,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,Eritrea,7,9
ESH,Africa,Western Sahara,597330,NA,28.4,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,70.26,W. Sahara,7,9
ESP,Europe,Spain,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,Spain,6,8
EST,Europe,Estonia,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,Estonia,6,8
ETH,Africa,Ethiopia,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,Ethiopia,7,9
FIN,Europe,Finland,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,Finland,6,8
FJI,Oceania,Fiji,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,Fiji,7,9
FLK,South America,Falkland Islands,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,Falkland Isl.,7,9
FRA,Europe,France,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,France,6,8
FRO,Europe,Faeroe Islands,48865,35.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.67,Faeroe Isl.,6,8
GAB,Africa,Gabon,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,Gabon,7,9
GBR,Europe,United Kingdom,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,United Kingdom,6,8
GBR_SCO,Europe,Scotland,5463300,69.76236385,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,Scotland,6,8
GBRTENW,Europe,England Wales,59439840,393.2532799,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,England+Wales,6,8
GEO,Asia,Georgia,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,Georgia,7,9
GGY,Europe,Guernsey,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guernsey,6,8
GHA,Africa,Ghana,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,Ghana,7,9
GIB,Europe,Gibraltar,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,Gibraltar,6,8
GIN,Africa,Guinea,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,Guinea,7,9
GMB,Africa,Gambia,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,Gambia,7,9
GNB,Africa,Guinea-Bissau,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,Guinea-Bissau,7,9
GNQ,Africa,Equatorial Guinea,1402985,45.194,22.4,2.846,1.752,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,Equatorial Guinea,7,9
GRC,Europe,Greece,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,Greece,6,8
GRD,North America,Grenada,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,Grenada,7,9
GRL,North America,Greenland,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,Greenland,6,8
GTM,North America,Guatemala,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,Guatemala,7,9
GUM,Oceania,Guam,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,Guam,7,9
GUY,South America,Guyana,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,69.91,Guyana,7,9
HKG,Asia,Hong Kong,7496988,7039.714,44.8,16.303,10.158,56054.92,NA,NA,8.33,NA,NA,NA,NA,84.86,Hong Kong,7,9
HND,North America,Honduras,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,Honduras,1,3
HRV,Europe,Croatia,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,Croatia,7,9
HTI,North America,Haiti,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,Haiti,7,9
HUN,Europe,Hungary,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,Hungary,6,8
IDN,Asia,Indonesia,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,Indonesia,7,9
IMN,Europe,Isle of Man,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,Isle of Man,6,8
IND,Asia,India,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,India,7,9
IRL,Europe,Ireland,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,Ireland,6,8
IRN,Asia,Iran,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,Iran,7,9
IRQ,Asia,Iraq,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,Iraq,7,9
ISL,Europe,Iceland,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,Iceland,7,9
ISR,Asia,Israel,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,Israel,7,9
ITA,Europe,Italy,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,Italy,6,8
JAM,North America,Jamaica,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,Jamaica,7,9
JEY,Europe,Jersey,101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jersey,6,8
JOR,Asia,Jordan,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,Jordan,7,9
JPN,Asia,Japan,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,Japan,7,9
KAZ,Asia,Kazakhstan,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,Kazakhstan,7,9
