iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
SLE,Africa,Sierra Leone,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,Sierra Leone,7,9
SLV,North America,El Salvador,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,El Salvador,7,9
SMR,Europe,San Marino,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,San Marino,6,8
SOM,Africa,Somalia,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,Somalia,7,9
SRB,Europe,Serbia,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,Serbia,6,8
SSD,Africa,South Sudan,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,South Sudan,7,9
STP,Africa,Sao Tome and Principe,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,Sao Tome+Principe,7,9
SUR,South America,Suriname,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,Suriname,7,9
SVK,Europe,Slovakia,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,Slovakia,6,8
SVN,Europe,Slovenia,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,Slovenia,6,8
SWE,Europe,Sweden,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,Sweden,6,8
SWZ,Africa,Swaziland,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,Swaziland,7,9
SXM,North America,Sint Maarten (Dutch part),42882,1209.088,NA,NA,NA,36327.232,NA,NA,NA,NA,NA,NA,NA,78.95,Sint Maarten(Dutch),7,9
SYC,Africa,Seychelles,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,Seychelles,7,9
SYR,Asia,Syria,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,Syria,7,9
TCA,North America,Turks and Caicos Islands,38718,37.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.22,Turks+Caicos Isl.,7,9
TCD,Africa,Chad,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,Chad,7,9
TGO,Africa,Togo,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,Togo,7,9
THA,Asia,Thailand,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,Thailand,7,9
TJK,Asia,Tajikistan,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,Tajikistan,7,9
TLS,Asia,Timor,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,Timor,7,9
TTO,North America,Trinidad and Tobago,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,Trinidad+Tobago,7,9
TUN,Africa,Tunisia,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,Tunisia,7,9
TUR,Asia,Turkey,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,Turkey,7,9
TWN,Asia,Taiwan,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,Taiwan,7,9
TZA,Africa,Tanzania,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,Tanzania,7,9
UGA,Africa,Uganda,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,Uganda,1,3
UKR,Europe,Ukraine,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,Ukraine,6,8
URY,South America,Uruguay,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,Uruguay,7,9
USA,North America,United States,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,United States,6,8
UZB,Asia,Uzbekistan,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,Uzbekistan,7,9
VAT,Europe,Vatican,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,Vatican,6,8
VCT,North America,Saint Vincent and the Grenadines,110947,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,St Vincent+Grenadines,7,9
VEN,South America,Venezuela,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,Venezuela,7,9
VGB,North America,British Virgin Islands,30237,207.973,NA,NA,NA,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,British Virgin Isl.,6,8
VIR,North America,United States Virgin Islands,104423,306.48,42.2,18.601,10.799,NA,NA,273.67,12.26,NA,NA,NA,NA,80.58,US Virgin Isl.,6,8
VNM,Asia,Vietnam,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,Vietnam,7,9
YEM,Asia,Yemen,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,Yemen,7,9
ZAF,Africa,South Africa,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,South Africa,12,2
ZMB,Africa,Zambia,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,Zambia,4,6
ZWE,Africa,Zimbabwe,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,Zimbabwe,7,9
